pdf_name,year,region,project_type,nom_commune,dept,land_surface_ha,power_mwc,longitude,latitude
250401-aparaxxx-centraleagripv-limons-63_delibere-6.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Limons,63,39.32,13.99,3.44572241084,45.9761150757
20250401_apara1837_parcpv_combronde_teilhede_63_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Teilhède,63,43.0,16.3,3.05247762419,45.9614924136
20250401_apara1837_parcpv_combronde_teilhede_63_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Combronde,63,43.0,16.3,3.08063423598,45.9858171361
20250311-ap-1838-pv-manglieu-63_vym_publication.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Manglieu,63,14.62,14.25,3.35655394687,45.6117755124
20250307_ap_1827_parc_agrivolt_stpierredechandieu-69vfinale.pdf,2025,Auvergne-Rhône-Alpes,agrivoltaïque,Saint-Pierre-de-Chandieu,69,9.6,6.62,5.00876036664,45.6448417915
250307_aparaxxx_projetmobhylys_colombiersaugnieu_69_delibere-1-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Colombier-Saugnieu,69,4.99,,5.10337456661,45.7178013267
250307_aparaxxx_projetmobhylys_colombiersaugnieu_69_delibere-1-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Colombier-Saugnieu,69,4.99,,5.10337456661,45.7178013267
250307_aparaxxx_projetmobhylys_colombiersaugnieu_69_delibere-1-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Colombier-Saugnieu,69,4.99,,5.10337456661,45.7178013267
250307_aparaxxx_projetmobhylys_colombiersaugnieu_69_delibere-1-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Colombier-Saugnieu,69,4.99,,5.10337456661,45.7178013267
250304_apara1819_pvedf_givors_loiresurrhone_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Givors,69,8.127,11.81,4.7572616296,45.5816626973
250304_apara1819_pvedf_givors_loiresurrhone_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Givors,69,8.127,11.81,4.7572616296,45.5816626973
250304_apara1819_pvedf_givors_loiresurrhone_delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Loire-sur-Rhône,69,8.127,11.81,4.78290098079,45.5468466677
250218_apara1805_parcpv_villebret_03_delibere-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Villebret,03,36.7,9.4,2.63276519171,46.277798684
ap-1817-defrichparcpv-coucouron-07_vym_publication-2.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,,,21.19,10.25,,
20250218_araap1815-pvflottant-dompierresurbesbre-03delibere.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Dompierre-sur-Besbre,03,10.0,8.5,3.67644076991,46.5305895294
2024-ap-1808-centrale_pv-paulhaguet_saintgeorgesdaurac_43_avisae_vym_version_definitive.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Paulhaguet,43,23.0,11.0,3.51504547862,45.2181062254
2024-ap-1808-centrale_pv-paulhaguet_saintgeorgesdaurac_43_avisae_vym_version_definitive.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Georges-d’Aurac,43,23.0,11.0,,
2024_ap-1799-parc_photovoltaique-premilhat-03_vym_vdefinitive.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Prémilhat,03,19.6,9.6,2.54719729208,46.3099309772
2024-ara-ap-1797_vym_2025-01-06_19-55-33_295-1.pdf,2025,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Pierre-d’Albigny,73,4.66,4.165,,
20241125_ap_bourglesvalence_26_vym4apublier-2.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Bourg-les-Valence,26,20.5,8300.0,,
241203_aparaxxx_parc_photovoltaique_sol_drugeac_15_delibere.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Drugeac,15,16.71,5.0,2.38866153977,45.1625110675
2024-ap-1772-parc_pv-vagnas-avisae_publication.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Vagnas,07,12000.0,2.0,4.34424564679,44.3596132039
20241119_aparaxxx_parc_agrivoltaique_commentry_03_delibere.pdf,2024,Auvergne-Rhône-Alpes,agrivoltaïque,Commentry,03,41500.0,38.3,2.74916734673,46.2787466852
avis_pv_vaumas_ap_1766_publication_v2.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Vaumas,03,138.0,10.36,3.6241176484,46.4484082735
241022_aparaxxx_parcpv_serpaize_38_delibere.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Serpaize,38,7.0,8.1,4.91965362732,45.5576137521
2024-10-08-ap-1753-centralepv_bournonclestpierre-43_vdeliberee.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Bournoncle-Saint-Pierre,43,13.0,12.0,3.32396530998,45.3431536681
2024-10-08-ap-1753-centralepv_bournonclestpierre-43_vdeliberee.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Bournoncle-Saint-Pierre,43,13.0,12.0,3.32396530998,45.3431536681
240910_aparaxxx_parcpv_droiturier_03.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Droiturier,03,3.27,3.11,3.70488868966,46.2267468451
20240910_ap_parc_photovoltaique_sol_val-darc_73_vdeliberee.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Arc,73,7.0,3.9,,
240906_aparaxx_parcpveoliennes_treban_03_vf.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,,,55.0,40.0,,
240614_parc_photovoltaique_flottant_lecheylas_saintemariedalloix_38_vym_vf.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Sainte-Marie-d’Alloix,38,220.0,300.0,,
20240610_ap_parc_photovoltaique_sol_nassigny_03_vf.pdf,2024,Auvergne-Rhône-Alpes,Photovoltaïque,Nassigny,03,7.22,6.9,2.59440652102,46.4978434905
avis_parcpv_toulonsurallier_03_vfinale.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Toulon-sur-Allier,03,16.0,13.5,3.37706265767,46.51061605
240523_aara1404__apara1705_mecduplu_parcpv_neuillylereal_03_delibere.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Neuilly-le-Réal,03,4687.0,12.41,3.43721508538,46.466710676
2024-ap-1696-projetagrivotaiqueausol_souvigny03publication.pdf,2024,Auvergne-Rhône-Alpes,agrivoltaïque,Souvigny,03,1500.0,32.55,3.18992960249,46.5243440423
240516_apara1707_necessite_actuei_centralepv_millery_69_delibere.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Millery,69,16.5,10.734,4.77973349891,45.6304862126
ap-1690-centrale_photovoltaique_au_sol_premilhat_03_publication.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Prémilhat,03,39.4,33.8,2.54719729208,46.3099309772
07052024-ap-1689-pv-pontduchateau-63_definitif.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Pont-du-Château,63,31.72,38.9,3.23957738391,45.7984084969
ap-1682_parcpvroussas_26_pour_publication.pdf,2024,Auvergne-Rhône-Alpes,agrivoltaïque,Roussas,26,38.0,16.0,4.78702172828,44.4429508183
240218_ap1677_extension_parc-photovoltaique_charroux_03publie.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Charroux,03,18.65,13.46,3.16415034202,46.1823286094
ap1678-parcpv_loriolsurdrome_26_pour_publication.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,,,19.5,2.9,,
240408_apara1672_parcpvsol_saulcesurrhone_26_delibere.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Saulce-sur-Rhône,26,8.2,5.3,4.79084711633,44.7042406134
240408_apara1672_parcpvsol_saulcesurrhone_26_delibere.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Saulce-sur-Rhône,26,8.2,5.3,4.79084711633,44.7042406134
240405_apara1670_parcpv_frugereslesmines_43_delibere.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Frugères-les-Mines,43,4.68,2.8,,
2024-ap-1671-parc_pv-toulonsurallier-03vfinale.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Toulon-sur-Allier,03,280.0,17.6,3.37706265767,46.51061605
20240312-ap-1668-pv-reugny-03_relu.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Reugny,03,2.5,2.9,2.61328894387,46.458404964
ap-1662-installation_dune_centrale_photovoltaique_au_sol_balan_01_vfinale.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Balan,01,14.0,6.03,5.10780019249,45.8311226453
240129_ap1663_parc-agrivoltaique_loriges_paraysousbriailles_03_vf.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Loriges,03,52.0,16.88,3.34188086413,46.2659177615
240129_ap1663_parc-agrivoltaique_loriges_paraysousbriailles_03_vf.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Paray-sous-Briailles,03,52.0,16.88,3.36980984118,46.2903733952
2024-ara-ap-1660_teilhede_63_v_ym_fdv2finalcr.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Teilhède,63,74.0,14.99,3.05247762419,45.9614924136
2024-ara-ap-1660_teilhede_63_v_ym_fdv2finalcr.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Combronde,63,74.0,14.99,3.08063423598,45.9858171361
20240226-au1378-ap1669-dpmecdu-centralepv-orleat-63_vfinale.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,,,73.0,17.68,,
240320_aparaxx_parcpv_cros_63-2.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Cros,63,17.5,3.76,2.60796346653,45.466906332
ap1656_parcpv_lauracenvivarais_07vfinale.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Laurac-en-Vivarais,07,30.0,18.84,4.28830492174,44.5033057192
ap-1653-centralepv-montmarault_saintbonnetde_four_pour_publicationvw-2.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Montmarault,03,215.0,18.4,2.95237432039,46.3201872756
ap-1653-centralepv-montmarault_saintbonnetde_four_pour_publicationvw-2.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Bonnet-de-Four,03,215.0,18.4,2.90455342628,46.314979417
ap-1654-parcpv-saintgerandde_vaux-03publie-2.pdf,2024,Auvergne-Rhône-Alpes,photovoltaïque,Saint-Gérand-de-Vaux,03,64.0,33.79,3.40743256191,46.3838249809
