year_url,title,description,pdf_link,pdf_name,region,year,land_surface_ha,power_mwc,project_type,nom_commune,dept,land_surface_ha_title,power_mwc_title,longitude,latitude
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Parc agrivoltaïque sur la commune de Terjat (03),parc agrivoltaique sur la commune de terjat (03) projet porté  par la société wpd solar france (allier) avis du 30 septembre 2025 / 2025-ara-ap-1935 2025apara122 pdf - 1.2 mio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250930-ap-1935-agripv-terjat-03vdeliberee.pdf,20250930-ap-1935-agripv-terjat-03vdeliberee.pdf,Auvergne-Rhône-Alpes,2025,17.05,9.81,agrivoltaïque,Terjat,03,,,2.61879197582,46.2144621437
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Parc agrivoltaïque au sol  sur la commune de Saint-Sulpice (63),parc agrivoltaique au sol  sur la commune de saint-sulpice (63) projet porté par q energy (puy-de-dôme) avis du 30 septembre 2025 / 2025-ara-ap-1939 2025apara121 pdf - 770.8 kio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250930_ap_parc_agrivoltaique_sol_st-sulpice63_vdeliberee.pdf,20250930_ap_parc_agrivoltaique_sol_st-sulpice63_vdeliberee.pdf,Auvergne-Rhône-Alpes,2025,63.0,11820.0,agrivoltaïque,Saint-Sulpice,63,,,2.6197535104,45.6470287269
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Centrale agrivoltaïque des Frênes sur la commune de Toulon-sur-Allier (03),centrale agrivoltaique des frênes sur la commune de toulon-sur-allier (03) projet porté par la société valeco (allier) avis du 30 septembre 2025 / 2025-ara-ap-1937 2025apara118 pdf - 2 mio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250930_ap_1937_centralepv_toulonsurallier_delibere.pdf,20250930_ap_1937_centralepv_toulonsurallier_delibere.pdf,Auvergne-Rhône-Alpes,2025,43.35,31.3,agrivoltaïque,Toulon-sur-Allier,03,,,3.37706265767,46.51061605
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Implantation d’un parc agrivoltaïque au sol sur la commune de Marclopt (42),implantation d’un parc agrivoltaique au sol sur la commune de marclopt (42) projet porté par la société corfu solaire (loire) avis du 16 septembre 2025 /  2025-ara-ap-1930 2025apara114 pdf - 958.4 kio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/250916_apara1930_parcpv_marclopt_delibere.pdf,250916_apara1930_parcpv_marclopt_delibere.pdf,Auvergne-Rhône-Alpes,2025,9.4,4.18,agrivoltaïque,Marclopt,42,,,4.22116537367,45.6639852846
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Parc agrivoltaïque sur la commune de Neuville-les-Dames (01),parc agrivoltaique sur la commune de neuville-les-dames (01) projet porté par la société unite (ain) avis du 4 septembre 2025 / 2025-ara-ap-1921 2025apara108 pdf - 664.2 kio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250904-ap-1921-agripv-neuvillelesdames-01vdeliberee.pdf,20250904-ap-1921-agripv-neuvillelesdames-01vdeliberee.pdf,Auvergne-Rhône-Alpes,2025,8.5,8.1,agrivoltaïque,Neuville-les-Dames,01,,,5.00942432434,46.1567753049
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Parc photovoltaïque sur la commune d’Espeluche (26),parc photovoltaique sur la commune d’espeluche (26) projet porté par la sas centrale photovoltaique d’espeluche (drôme) avis du 22 août 2025 / 2025-ara-ap-1912 2025apara102 pdf - 1.2 mio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250822-ap-1912-centralepv-espeluche-26vdeliberee-2.pdf,20250822-ap-1912-centralepv-espeluche-26vdeliberee-2.pdf,Auvergne-Rhône-Alpes,2025,31.4,10.2,photovoltaïque,Espeluche,26,,,4.82247674959,44.521406146
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Installation d’une centrale photovoltaïque au sol sur la commune de Nervieux (42),installation d’une centrale photovoltaique au sol sur la commune de nervieux (42) projet porté par le parc solaire d’asnières ouest (loire) avis du 05 août 2025 / 2025-ara-ap-01903 2025apara96 pdf - 934.8 kio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250805-ara-ap-2025-01903-parcphotovoltaiqueausolnervieux_42_vdeliberee.pdf,20250805-ara-ap-2025-01903-parcphotovoltaiqueausolnervieux_42_vdeliberee.pdf,Auvergne-Rhône-Alpes,2025,32778.0,6.53,photovoltaïque,Nervieux,42,,,4.14151199652,45.8118000128
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Parc photovoltaïque au sol sur la commune de Chalamont (01),parc photovoltaique au sol sur la commune de chalamont (01) projet porté par la société enoé (ain) avis du 08 juillet 2025 / 2025-ara-ap-1894 2025apara82 pdf - 682.7 kio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250708-ara-ap-1894_chalamont_01_delibere.pdf,20250708-ara-ap-1894_chalamont_01_delibere.pdf,Auvergne-Rhône-Alpes,2025,11.7,6.16,photovoltaïque,Chalamont,01,,,5.16936568,46.0076491739
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Implantation d’un parc agrivoltaïque sur la commune de Saligny-sur-Roudon (03),implantation d’un parc agrivoltaique sur la commune de saligny-sur-roudon (03) projet porté par la société green energy 3000 (marne) avis du 27 juin 2025 / 2025-ara-ap-1886 2025apara78 pdf - 1.1 mio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/250627_aparaxx_parcpv_salignysurroudon_03.pdf,250627_aparaxx_parcpv_salignysurroudon_03.pdf,Auvergne-Rhône-Alpes,2025,252.0,49.0,agrivoltaïque,Saligny-sur-Roudon,03,,,3.75125723141,46.4629712549
https://www.mrae.developpement-durable.gouv.fr/avis-rendus-sur-projets-de-la-mrae-auvergne-rhone-a1416.html,Projet de parc agrivoltaïque porté par la société Photosol sur les communes de Frugères-les-Mines et Sainte-Florine (43),projet de parc agrivoltaique porté par la société photosol sur les communes de frugères-les-mines et sainte-florine (43) projet porté par la société photosol (haute-loire) avis du 24 juin 2025 / 2025-ara-ap-1885 2025apara77 pdf - 645.2 kio,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/20250609-ap-1885-pv-frugereslesmines_sainteflorine-43_publication.pdf,20250609-ap-1885-pv-frugereslesmines_sainteflorine-43_publication.pdf,Auvergne-Rhône-Alpes,2025,8.2,3.3,agrivoltaïque,Frugères-les-Mines,43,,,,
