pdf_name,land_surface_ha,power_mwc
2022apo25.pdf,4.52,4.32
avis_mrae_2021apo57.pdf,8.48,7.52
ap-1653-centralepv-montmarault_saintbonnetde_four_pour_publicationvw-2.pdf,215.0,18.4
231010_apara1591_centralephotovoltaique_commentry_03_delibere.pdf,59.8,14.7
7840_centrale_agrivolt_avrechy.pdf,42.8,17.9
avi_2020apmay6_akuo_hamaha.pdf,3.7,1.19
2020appaca17.pdf,110.7,
avi_2021apguy8_centraleagrivoltaique_hybride_mana.pdf,590.0,60.0
2023apara71_projetagrivotaiqueausol_vallon-ensully03.pdf,31.08,28.0
2024apo113.pdf,5.2,3.27
8831_photovoltaique_bonrepossurblavet_22_2021apb27_signe.pdf,924.0,
2022apara144_centrale__pv-villette-de-vienne_38.pdf,67.5,
p_2019_7704_photovoltaique_st_sornin_leulac_87_mls_signe.pdf,315.0,
ap1865-parcpv_stchristophesurdolaizon_43_publication.pdf,2500.0,2.1
2025apcvl25.pdf,56.61,33.44
8274_avis_centrale_agrivoltaique_monceau_le_neuf_faucouzy_housset.pdf,67.61,1.0
2023apge78.pdf,61.0,50.0
p_2022_12678_a_pv_vivonne_signe.pdf,5.3,
p_2023_13971_pv_beauziac_47_collegiale-1_rv1.pdf,1900.0,58.88
avis_mrae2020apo20.pdf,8.5,
12621_avistacite_projet_pv_sol_rostrenen_22_2025apb100.pdf,,
p_2022_13273_pv_pouille_86_cd_rv.pdf,30.0,5.9
p_2024_15678_3evoie_pvsol_montendre_17.pdf,13.5,11.04
p_2024_16942_avis_cible_centrale_pv_brocas_40_vcg.pdf,137.0,1.0
2022apcvl42.pdf,4.7,1.0
p_2023_14687_avis_3eme-voie_signe.pdf,10.5,1.0
2023apge104.pdf,12.0,
2024appaca42.pdf,3.6,1.0
p_2021_11275_avis__deleg_photov_oradour_16_mee_mrae_signe.pdf,22.0,9.66
a_2659_pa_parc-photovoltaique_delibere.pdf,240.0,17.0
p_2020_9509_a_27mars20_mrae_signe.pdf,60.0,
2022apcvl83.pdf,,
avis_mrae_extension_pv_penta-di-casinca_vdef.pdf,31.85,17.5
8448_courrier_mrae_non_actualisation_ei.pdf,,
200728_apbfc38_pv_cosnesurloire_58.pdf,55.0,30.0
2020appaca7.pdf,90.0,10.0
2023apara74_centralepv-porcieuamblagnieu_38.pdf,2.1,500.0
2024apo139.pdf,50.0,10.2
2023apge52.pdf,1000.0,1.0
2022apo32-2.pdf,17.8,5.0
2023apguy1_parc_photovoltaique_csg_cnes_kourou-vf.pdf,6.9,4.2
201120_apara121_pv_youx.pdf,166.68,15.27
8941_8942_avisae_centralesolaire_crespin.pdf,21.6,4.02
p_2023_14451_grd_brassac_signe.pdf,16.3,17.512
p_2022_12902_pv_coulonges-86_col_signe.pdf,5.5,1.0
2021apcvl66.pdf,13.1,1.0
p_2024_16374_16376_ferme_agrivoltaique_la_levade_richemont_saucats_33_2024_signe-1.pdf,99.0,59.0
200731_apara071_pv_balan_01.pdf,314.2,
2024apge36.pdf,73.4,34.0
p_2022_13126_a_agrivolt_allons_47_mee-rv.pdf,1900.0,85.0
2023apge85.pdf,11.4,16.0
20240910_ap_parc_photovoltaique_sol_val-darc_73_vdeliberee.pdf,7.0,3.9
2023apo27.pdf,20.0,9.9
avis_mrae_2020apo55.pdf,13.2,
2022apo33.pdf,6.52,5.75
p_2019_8861_avis_delegation_photov_treignac_19_signe.pdf,18.0,
ap-1690-centrale_photovoltaique_au_sol_premilhat_03_publication.pdf,39.4,33.8
2023apo33.pdf,6.76,3.8
p_2021_10905_pv_leyritz-moncassin_47_mee_mrae_signe.pdf,19.2,
2022apge142.pdf,12.0,12.48
pdl-2023-7387_centralepv_mareuil-sur-lay-dissais_chateau-guibert_85_2023appdl112-2.pdf,4.1,4.6
2021apge39.pdf,13.0,13.0
210401_apara38_photovolt_besson_03_delibere.pdf,3.61,2.78
mrae_avis_pv_olmiccia_corsica_energia_vdef-2.pdf,25.0,14.8
2022appaca20.pdf,167.0,61.0
1-6-1-12_la_couvertoirade_valorem_avis_valide_mrae.pdf,7.7,5.0
p_2023_13634_a_pv_mouthiers-sur-boeme_16_rv-1.pdf,1655.0,14.4
2018apge6.pdf,3.74,
20210806-pvchapeaumercypublie.pdf,189.0,2200.0
2024apo56.pdf,9.0,5.8
pdl-2024-7663_projet_centralepv_ceransfoulletourte_72_2024appdl42.pdf,3.7,4.9
a_2024-5580_installation-photovoltaique_etrepagny_27_.pdf,300.0,1.0
2025apo42.pdf,12.9,7.2
p_2018_7340_centrale_photovoltaique_surgeres_17_mrae_signe.pdf,4.8,
2022apbfc67_pv_aubaine_21.pdf,18.9,18.6
p_2020_9894_pv_aubusson_avis_signe.pdf,20.31,
2025apo6.pdf,17.2,7.88
2025apcvl80centrale_photovoltaique_controis.pdf,,
2021apbfc52_central_pv_cheny_89.pdf,12.0,
251106_apara1982et1987_n8422et8473_parcpvsol_grezieuxlefromental_precieux_42_delibere.pdf,13849.0,22.1
2025apo81.pdf,50.0,24.5
pdl-2024-7602_centralepv_st-vincent-sterlanges_85_2024appdl36.pdf,7.3,6.56
2025apge69.pdf,23.8,27.44
2024apo81.pdf,14.2,29.1
2025apo94.pdf,88.0,31.2
p_2022_13362_avis_centrale_arue_roquefort_40_mee_signe.pdf,17.0,19.35
p_2024_15461_avis_ae_delegation_centrale_solaire_cours_79signe-1.pdf,45.7,5.2
2024apo94.pdf,21.0,18.9
2025apo7.pdf,8.8,7.0
2022apo103.pdf,8.36,8.51
avis2024apgua1delibere-signe2.pdf,,1.2
2022apo117.pdf,6.75,3.2
2025apge54.pdf,22.0,9.54
7938_parcphotovoltaique_plainehaute_22__publie.pdf,9.6,
2023apara6_parcpv_domerat_03.pdf,39.0,33.8
2023apara106_projet_agrivotaique_sol_serrieresdebriord_01.pdf,6.752,
p_2018_6492_parc_photovoltaique_fontenet_avis__mrae_signe.pdf,27.0,1.0
2025apo43.pdf,5370.0,9.15
p_2023_13635_avis_ae_formule_centrale_solaire_vivonne_86_pl.pdf,8.3,8.5
2022apara66_parcpv-bulhonculhat_63.pdf,95.4,103.0
p_2018_6603_avis_collegiale_centrale_photovoltaique_sainte_aulaye_puymangou_mrae_signe.pdf,4520.0,10.7
20191011_centrale-photovoltaique_coings.pdf,12.1,1.0
2024apbfc4622pvst-gratien-savignymatongeetbeaumontadelibere.pdf,129.8,19.74
p_2019_8084_a_photovoltaique_val-de-livenne_33_jt_signe.pdf,20.0,17.6
6147_avisae_pc_centrae_photovoltaique_wallers.pdf,14.0,9.52
avis_mrae_2021apo83.pdf,180.0,113.0
avis_parcpv_toulonsurallier_03_vfinale.pdf,16.0,13.5
240405_apara1670_parcpv_frugereslesmines_43_delibere.pdf,4.68,2.8
p_2023_14618_avis_3_eme_voie_pv_3_2_ha_castelnau-de-medoc_33_signe.pdf,4.91,2.86
2022apge143.pdf,4.2,5.0
2021apge10.pdf,36.1,7.5
180910_2018apbfc50_parc_solaire_epinac-71.pdf,,
2022apbfc56_centrale_pv_gueugnon_71_def.pdf,5.1,5.445
p_2022_12529_centrale_photov_flottante_bruch_47_mrae_signe_v2.pdf,19.2,7.38
2021apbfc44_central_photovoltaique_colombier_21.pdf,390.0,
2024apge23.pdf,6.1,
p_2023_14614_avis_centrale_photovoltaique_les_peintures_33_meeab-v2.pdf,33.9,1.0
2025apcvl72_parc_pv_villedieu_le_chateau.pdf,,
7899_avis_projet_parc_agrivoltaique_longuenesse.odt.pdf,44.4,13.631
2020ap049.pdf,7.6,3.4
2023apge53.pdf,8.3,
avis_mrae_olmeta-di-tuda_pv_corsica-sole_vdef.pdf,10.0,24.0
2022-appaca28.pdf,6.2,5.0
avis_mrae_tox_pv_corsica-sole_v_def.pdf,7.35,4.7
p_2020_9887_parc_solaire_la_rayonniere_st_maurice_la_clouere_86_signe.pdf,5.96,3.18
p_2023_13885_avis_pv_mansatlacourriere_23_signe.pdf,30.8,7.16
2022-12-08_bretigny_plessis_pate_centrale-photovoltaique_ba217_avis_delibere.pdf,750.0,34.8
2020apc9.pdf,12.0,
p_2024_16219_a_pv_moussac_le_vigeant.pdf,420.0,14.22
p_2022_12689_a_pv_chapelle-baton_86_mee_rv.pdf,2312.0,30.0
pdl-2023-6870_projet_centralepv_connere_72_2023appdl44.pdf,6.6,7.25
2020apge63.pdf,40.0,45.9
2023apo43-2.pdf,12.0,9.0
2025apcvl82_centrale_photovoltaique_mery_es_bois.pdf,,
p_2018-6405_a_jt_signe.pdf,162.2,48.15
2022apcvl45.pdf,24.0,3.0
2023apara20_ap1466_parcpv_lachapelaude.pdf,9.43,11.3
avis_mrae_pv_langeron58delibere.pdf,30.0,13.17
avis_mrae2021apo3.pdf,4.4,4.43
2024-10-08-ap-1753-centralepv_bournonclestpierre-43_vdeliberee.pdf,13.0,12.0
mrae_avis_porto-vecchio_ac_vdef.pdf,12.5,5.0
2024ap4355projetpvavis_fraisansdelibere.pdf,12.88,24.6
p_2024_15523_parc_pv_au_sol_saint-justin_et_vielle-soubiran_40.pdf,34.0,45.0
2019-006776-42112_6776_implantation_d_une_centrale_photovoltaique_a_guiscriff__56_.pdf,18.0,
definitif_-_avis_pv_malbouhans_et_la_neuvelle-les-lure_70_.pdf,21.0,30.0
2024apo114.pdf,11.0,11.5
pdl-2022-6665_projet_centralepv_laferte-bernard_72_2022appdl25.pdf,7.1,7.9
bfc_2024-4538_avis_agripv_etais-sauvin_89-_delibere.pdf,62.8,22.4
ap-1879-parcpv-diou_03__publication.pdf,268.0,44.3
p_2024_no16418_agripv_carresse-cassaber_64.pdf,16.89,1.0
2022-011098_avis_pv_starnac-lasserettes_validemrae.pdf,14.4,13.8
p_2021_10595_avis_ae_delegation_centrale_rancogne_2_signe.pdf,35.0,5.0
20250904-ap-1921-agripv-neuvillelesdames-01vdeliberee.pdf,8.5,8.1
2023apge94.pdf,16.5,12.78
ap-1578_centrale_pv_sol_cnr_vertrieu_38_ok_a_publier.pdf,9.28,5.75
2023apara4_parcpvsolnieudan-15.pdf,17.14,15.85
2023apbfc24_pv_bazarnes_89.pdf,128.0,
20250311-ap-1838-pv-manglieu-63_vym_publication.pdf,14.62,14.25
2020appaca10.pdf,10.26,1.85
003052_a_p.pdf,,
p_2018_7483_a_del_cent_photo_aubusson_23_mls_signe.pdf,5.27,2.0
